Theta[deg],Phi[deg],re(rEPhi)[mV],im(rEPhi)[mV],re(rETheta)[mV],im(rETheta)[mV]
-90,0,5.55112e-14,-2.77556e-13,-3886.35,6679.52
-89,0,-3.97346,-1.71143,-3879.96,6685.36
-88,0,-7.95206,-3.4164,-3875.66,6694.23
-87,0,-11.9371,-5.11731,-3873.44,6706.13
-86,0,-15.9299,-6.81652,-3873.29,6721.07
-85,0,-19.9318,-8.51635,-3875.19,6739.04
-84,0,-23.9439,-10.2191,-3879.12,6760.05
-83,0,-27.9674,-11.927,-3885.06,6784.09
-82,0,-32.0034,-13.6423,-3892.97,6811.17
-81,0,-36.0528,-15.3669,-3902.83,6841.29
-80,0,-40.1167,-17.103,-3914.6,6874.43
-79,0,-44.1958,-18.8525,-3928.25,6910.59
-78,0,-48.2908,-20.6171,-3943.75,6949.76
-77,0,-52.4022,-22.3986,-3961.06,6991.93
-76,0,-56.5305,-24.1985,-3980.12,7037.09
-75,0,-60.676,-26.0184,-4000.91,7085.22
-74,0,-64.8387,-27.8595,-4023.37,7136.31
-73,0,-69.0186,-29.723,-4047.46,7190.33
-72,0,-73.2156,-31.61,-4073.13,7247.26
-71,0,-77.4291,-33.5213,-4100.33,7307.07
-70,0,-81.6588,-35.4577,-4129,7369.73
-69,0,-85.9038,-37.4196,-4159.11,7435.2
-68,0,-90.1633,-39.4076,-4190.58,7503.46
-67,0,-94.436,-41.4218,-4223.38,7574.45
-66,0,-98.7208,-43.4623,-4257.44,7648.12
-65,0,-103.016,-45.529,-4292.71,7724.44
-64,0,-107.321,-47.6215,-4329.13,7803.34
-63,0,-111.632,-49.7394,-4366.64,7884.76
-62,0,-115.948,-51.8821,-4405.19,7968.64
-61,0,-120.268,-54.0487,-4444.73,8054.91
-60,0,-124.588,-56.2383,-4485.18,8143.49
-59,0,-128.905,-58.4498,-4526.5,8234.31
-58,0,-133.219,-60.6819,-4568.63,8327.28
-57,0,-137.524,-62.9332,-4611.51,8422.31
-56,0,-141.82,-65.2021,-4655.07,8519.31
-55,0,-146.101,-67.4869,-4699.27,8618.19
-54,0,-150.366,-69.7858,-4744.04,8718.83
-53,0,-154.611,-72.0969,-4789.33,8821.12
-52,0,-158.831,-74.418,-4835.07,8924.96
-51,0,-163.025,-76.7471,-4881.22,9030.23
-50,0,-167.188,-79.0819,-4927.7,9136.8
-49,0,-171.316,-81.4202,-4974.47,9244.55
-48,0,-175.406,-83.7595,-5021.46,9353.35
-47,0,-179.453,-86.0974,-5068.61,9463.05
-46,0,-183.454,-88.4314,-5115.88,9573.53
-45,0,-187.405,-90.759,-5163.19,9684.64
-44,0,-191.302,-93.0777,-5210.5,9796.24
-43,0,-195.141,-95.3849,-5257.73,9908.17
-42,0,-198.918,-97.678,-5304.85,10020.3
-41,0,-202.629,-99.9544,-5351.78,10132.4
-40,0,-206.271,-102.212,-5398.46,10244.5
-39,0,-209.838,-104.447,-5444.85,10356.2
-38,0,-213.329,-106.658,-5490.88,10467.5
