Theta[deg],Phi[deg],re(rEPhi)[mV],im(rEPhi)[mV],re(rETheta)[mV],im(rETheta)[mV]
-90,0,-6.66134e-13,-1.11022e-12,-483.113,107.952
-89,0,-93.1585,180.426,-483.081,108.458
-88,0,-185.947,361.087,-483.223,108.898
-87,0,-278.397,542.009,-483.54,109.274
-86,0,-370.542,723.217,-484.029,109.585
-85,0,-462.412,904.737,-484.688,109.832
-84,0,-554.04,1086.59,-485.514,110.014
-83,0,-645.456,1268.8,-486.503,110.133
-82,0,-736.69,1451.39,-487.65,110.187
-81,0,-827.772,1634.38,-488.95,110.178
-80,0,-918.731,1817.78,-490.396,110.104
-79,0,-1009.6,2001.6,-491.981,109.965
-78,0,-1100.39,2185.86,-493.699,109.763
-77,0,-1191.15,2370.56,-495.541,109.495
-76,0,-1281.88,2555.72,-497.498,109.162
-75,0,-1372.62,2741.32,-499.562,108.763
-74,0,-1463.39,2927.37,-501.722,108.298
-73,0,-1554.2,3113.86,-503.969,107.765
-72,0,-1645.08,3300.78,-506.291,107.165
-71,0,-1736.04,3488.12,-508.678,106.497
-70,0,-1827.09,3675.86,-511.119,105.759
-69,0,-1918.24,3863.98,-513.602,104.951
-68,0,-2009.51,4052.45,-516.115,104.072
-67,0,-2100.9,4241.24,-518.645,103.12
-66,0,-2192.42,4430.32,-521.181,102.095
-65,0,-2284.06,4619.64,-523.71,100.995
-64,0,-2375.83,4809.16,-526.219,99.8193
-63,0,-2467.72,4998.84,-528.696,98.5663
-62,0,-2559.72,5188.63,-531.128,97.2347
-61,0,-2651.82,5378.46,-533.503,95.8231
-60,0,-2744.01,5568.28,-535.807,94.33
-59,0,-2836.27,5758.02,-538.029,92.7539
-58,0,-2928.59,5947.61,-540.156,91.0932
-57,0,-3020.93,6136.98,-542.176,89.3465
-56,0,-3113.27,6326.06,-544.077,87.5121
-55,0,-3205.58,6514.76,-545.847,85.5885
-54,0,-3297.83,6703.01,-547.476,83.5741
-53,0,-3389.98,6890.7,-548.951,81.4673
-52,0,-3481.98,7077.77,-550.262,79.2665
-51,0,-3573.8,7264.1,-551.399,76.9704
-50,0,-3665.39,7449.6,-552.351,74.5773
-49,0,-3756.69,7634.18,-553.11,72.086
-48,0,-3847.66,7817.73,-553.665,69.495
-47,0,-3938.24,8000.14,-554.009,66.8032
-46,0,-4028.37,8181.31,-554.132,64.0095
-45,0,-4118,8361.13,-554.027,61.1128
-44,0,-4207.05,8539.48,-553.687,58.1123
-43,0,-4295.46,8716.26,-553.106,55.0074
-42,0,-4383.17,8891.33,-552.276,51.7974
-41,0,-4470.11,9064.6,-551.192,48.482
-40,0,-4556.2,9235.92,-549.85,45.0612
-39,0,-4641.37,9405.2,-548.245,41.535
-38,0,-4725.56,9572.29,-546.372,37.9037
-37,0,-4808.68,9737.08,-544.228,34.1681
-36,0,-4890.67,9899.45,-541.81,30.3288
-35,0,-4971.44,10059.3,-539.117,26.3872
-34,0,-5050.93,10216.4,-536.146,22.3447
-33,0,-5129.06,10370.7,-532.897,18.203
-32,0,-5205.75,10522.1,-529.368,13.9642
-31,0,-5280.93,10670.5,-525.561,9.63073
-30,0,-5354.53,10815.6,-521.474,5.20539
-29,0,-5426.47,10957.5,-517.111,0.691247
-28,0,-5496.68,11095.9,-512.471,-3.90826
-27,0,-5565.09,11230.8,-507.558,-8.58934
-26,0,-5631.64,11362,-502.375,-13.3479
-25,0,-5696.26,11489.4,-496.924,-18.1794
-24,0,-5758.88,11612.9,-491.209,-23.0791
-23,0,-5819.44,11732.3,-485.236,-28.0418
-22,0,-5877.89,11847.6,-479.008,-33.0621
-21,0,-5934.15,11958.7,-472.53,-38.1343
-20,0,-5988.18,12065.3,-465.809,-43.2523
-19,0,-6039.92,12167.5,-458.851,-48.4098
-18,0,-6089.33,12265.1,-451.661,-53.6002
-17,0,-6136.35,12358.1,-444.248,-58.8168
-16,0,-6180.94,12446.2,-436.618,-64.0525
-15,0,-6223.06,12529.5,-428.779,-69.3002
-14,0,-6262.67,12607.9,-420.738,-74.5526
-13,0,-6299.73,12681.2,-412.504,-79.8022
-12,0,-6334.21,12749.3,-404.086,-85.0414
-11,0,-6366.07,12812.3,-395.492,-90.2627
-10,0,-6395.3,12870.1,-386.73,-95.4584
-9,0,-6421.87,12922.5,-377.811,-100.621
-8,0,-6445.75,12969.5,-368.742,-105.743
-7,0,-6466.93,13011.1,-359.534,-110.816
-6,0,-6485.38,13047.3,-350.195,-115.834
-5,0,-6501.11,13077.9,-340.735,-120.788
-4,0,-6514.09,13103,-331.164,-125.673
-3,0,-6524.32,13122.5,-321.49,-130.481
-2,0,-6531.8,13136.4,-311.723,-135.206
-1,0,-6536.52,13144.7,-301.872,-139.841
0,0,-6538.49,13147.3,-291.946,-144.38
1,0,-6537.7,13144.4,-281.955,-148.818
2,0,-6534.17,13135.9,-271.907,-153.149
3,0,-6527.9,13121.7,-261.809,-157.369
4,0,-6518.91,13102,-251.672,-161.473
5,0,-6507.2,13076.7,-241.503,-165.458
6,0,-6492.8,13045.9,-231.309,-169.319
7,0,-6475.72,13009.6,-221.099,-173.055
8,0,-6455.98,12967.9,-210.879,-176.662
9,0,-6433.61,12920.8,-200.657,-180.138
10,0,-6408.62,12868.3,-190.438,-183.483
11,0,-6381.06,12810.6,-180.23,-186.696
12,0,-6350.95,12747.6,-170.038,-189.775
13,0,-6318.31,12679.6,-159.868,-192.723
14,0,-6283.19,12606.4,-149.724,-195.538
15,0,-6245.63,12528.3,-139.613,-198.224
16,0,-6205.65,12445.4,-129.538,-200.782
17,0,-6163.29,12357.6,-119.503,-203.214
18,0,-6118.62,12265.1,-109.513,-205.524
19,0,-6071.65,12168,-99.5706,-207.715
20,0,-6022.45,12066.5,-89.6796,-209.791
21,0,-5971.05,11960.5,-79.8428,-211.757
22,0,-5917.52,11850.3,-70.063,-213.617
23,0,-5861.89,11735.9,-60.3426,-215.378
24,0,-5804.23,11617.5,-50.684,-217.044
25,0,-5744.58,11495.1,-41.0891,-218.621
26,0,-5683.01,11369,-31.56,-220.117
27,0,-5619.56,11239.1,-22.0983,-221.537
28,0,-5554.3,11105.7,-12.7058,-222.888
29,0,-5487.29,10968.8,-3.38388,-224.178
30,0,-5418.59,10828.6,5.86591,-225.414
31,0,-5348.25,10685.2,15.0421,-226.602
32,0,-5276.34,10538.8,24.1434,-227.751
33,0,-5202.92,10389.4,33.1683,-228.866
34,0,-5128.06,10237.1,42.1153,-229.957
35,0,-5051.82,10082.2,50.9831,-231.029
36,0,-4974.25,9924.71,59.77,-232.089
37,0,-4895.43,9764.73,68.4745,-233.145
38,0,-4815.41,9602.42,77.0947,-234.203
39,0,-4734.27,9437.89,85.629,-235.27
40,0,-4652.05,9271.25,94.0752,-236.35
41,0,-4568.83,9102.61,102.431,-237.451
42,0,-4484.65,8932.1,110.695,-238.577
43,0,-4399.59,8759.8,118.864,-239.732
44,0,-4313.69,8585.85,126.936,-240.922
45,0,-4227.01,8410.33,134.909,-242.15
46,0,-4139.62,8233.35,142.778,-243.42
47,0,-4051.55,8055.01,150.543,-244.733
48,0,-3962.86,7875.4,158.198,-246.093
49,0,-3873.61,7694.61,165.742,-247.501
50,0,-3783.83,7512.75,173.171,-248.958
51,0,-3693.57,7329.88,180.482,-250.465
52,0,-3602.88,7146.1,187.671,-252.021
53,0,-3511.78,6961.49,194.735,-253.626
54,0,-3420.33,6776.12,201.669,-255.278
55,0,-3328.55,6590.06,208.472,-256.975
56,0,-3236.48,6403.39,215.139,-258.715
57,0,-3144.14,6216.18,221.666,-260.494
58,0,-3051.56,6028.49,228.049,-262.31
59,0,-2958.76,5840.37,234.286,-264.157
60,0,-2865.77,5651.89,240.373,-266.031
61,0,-2772.6,5463.1,246.306,-267.927
62,0,-2679.28,5274.05,252.082,-269.839
63,0,-2585.8,5084.8,257.697,-271.762
64,0,-2492.19,4895.38,263.148,-273.688
65,0,-2398.45,4705.84,268.433,-275.611
66,0,-2304.58,4516.21,273.548,-277.525
67,0,-2210.6,4326.54,278.49,-279.421
68,0,-2116.5,4136.86,283.257,-281.293
69,0,-2022.28,3947.2,287.845,-283.132
70,0,-1927.94,3757.58,292.253,-284.932
71,0,-1833.47,3568.04,296.477,-286.685
72,0,-1738.88,3378.6,300.516,-288.382
73,0,-1644.14,3189.27,304.368,-290.017
74,0,-1549.26,3000.08,308.031,-291.582
75,0,-1454.22,2811.04,311.502,-293.069
76,0,-1359.01,2622.17,314.78,-294.471
77,0,-1263.62,2433.49,317.863,-295.782
78,0,-1168.04,2244.99,320.75,-296.995
79,0,-1072.24,2056.7,323.439,-298.104
80,0,-976.221,1868.61,325.929,-299.102
81,0,-879.962,1680.74,328.218,-299.986
82,0,-783.445,1493.09,330.306,-300.749
83,0,-686.655,1305.66,332.192,-301.387
84,0,-589.574,1118.46,333.873,-301.897
85,0,-492.185,931.484,335.35,-302.275
86,0,-394.471,744.735,336.622,-302.518
87,0,-296.413,558.213,337.687,-302.625
88,0,-197.993,371.918,338.545,-302.594
89,0,-99.195,185.847,339.195,-302.424
90,0,-6.66134e-13,6.66134e-13,339.636,-302.114
-90,1,-6.6579e-13,-6.66517e-13,-543.497,208.354
-89,1,-93.049,180.428,-543.368,208.961
-88,1,-185.728,361.09,-543.447,209.57
-87,1,-278.069,542.012,-543.732,210.181
-86,1,-370.104,723.222,-544.221,210.794
-85,1,-461.865,904.742,-544.912,211.411
-84,1,-553.382,1086.6,-545.801,212.03
-83,1,-644.688,1268.81,-546.884,212.651
-82,1,-735.813,1451.4,-548.155,213.274
-81,1,-826.785,1634.39,-549.61,213.9
-80,1,-917.635,1817.78,-551.241,214.526
-79,1,-1008.39,2001.61,-553.042,215.152
-78,1,-1099.08,2185.87,-555.005,215.778
-77,1,-1189.72,2370.57,-557.122,216.403
-76,1,-1280.35,2555.72,-559.383,217.024
-75,1,-1370.98,2741.32,-561.78,217.642
-74,1,-1461.63,2927.37,-564.301,218.255
-73,1,-1552.34,3113.86,-566.937,218.86
-72,1,-1643.1,3300.79,-569.677,219.457
-71,1,-1733.95,3488.13,-572.51,220.043
-70,1,-1824.89,3675.87,-575.423,220.617
-69,1,-1915.94,3863.98,-578.405,221.177
-68,1,-2007.1,4052.45,-581.442,221.72
-67,1,-2098.38,4241.24,-584.524,222.244
-66,1,-2189.79,4430.32,-587.637,222.746
-65,1,-2281.33,4619.64,-590.767,223.225
-64,1,-2372.99,4809.17,-593.902,223.676
-63,1,-2464.77,4998.85,-597.029,224.099
-62,1,-2556.67,5188.63,-600.135,224.488
-61,1,-2648.67,5378.47,-603.206,224.843
-60,1,-2740.76,5568.29,-606.229,225.158
-59,1,-2832.92,5758.03,-609.191,225.432
-58,1,-2925.13,5947.62,-612.079,225.661
-57,1,-3017.37,6137,-614.88,225.842
-56,1,-3109.62,6326.08,-617.581,225.97
-55,1,-3201.83,6514.79,-620.171,226.044
-54,1,-3293.98,6703.04,-622.636,226.058
-53,1,-3386.03,6890.74,-624.965,226.01
-52,1,-3477.94,7077.81,-627.146,225.895
-51,1,-3569.67,7264.14,-629.168,225.711
-50,1,-3661.17,7449.65,-631.02,225.453
-49,1,-3752.39,7634.24,-632.691,225.118
-48,1,-3843.27,7817.79,-634.171,224.702
-47,1,-3933.77,8000.21,-635.45,224.201
-46,1,-4023.82,8181.39,-636.519,223.613
-45,1,-4113.36,8361.22,-637.369,222.933
-44,1,-4202.34,8539.58,-637.992,222.158
-43,1,-4290.67,8716.36,-638.379,221.285
-42,1,-4378.31,8891.45,-638.524,220.311
-41,1,-4465.17,9064.72,-638.418,219.232
-40,1,-4551.19,9236.06,-638.057,218.046
-39,1,-4636.3,9405.34,-637.433,216.75
-38,1,-4720.42,9572.45,-636.542,215.342
-37,1,-4803.48,9737.25,-635.379,213.82
-36,1,-4885.41,9899.62,-633.939,212.18
-35,1,-4966.13,10059.5,-632.219,210.423
-34,1,-5045.56,10216.6,-630.216,208.546
-33,1,-5123.63,10370.9,-627.927,206.548
-32,1,-5200.27,10522.4,-625.35,204.428
-31,1,-5275.4,10670.7,-622.485,202.186
-30,1,-5348.95,10815.9,-619.329,199.822
-29,1,-5420.85,10957.8,-615.882,197.335
-28,1,-5491.02,11096.2,-612.146,194.727
-27,1,-5559.39,11231.1,-608.12,191.998
-26,1,-5625.9,11362.3,-603.806,189.15
-25,1,-5690.48,11489.7,-599.206,186.183
-24,1,-5753.07,11613.2,-594.323,183.101
-23,1,-5813.6,11732.7,-589.158,179.905
-22,1,-5872.01,11848,-583.717,176.598
-21,1,-5928.25,11959,-578.002,173.184
-20,1,-5982.25,12065.7,-572.018,169.665
-19,1,-6033.97,12167.9,-565.769,166.046
-18,1,-6083.35,12265.5,-559.262,162.331
-17,1,-6130.35,12358.5,-552.502,158.523
-16,1,-6174.93,12446.7,-545.495,154.629
-15,1,-6217.03,12530,-538.248,150.652
-14,1,-6256.62,12608.3,-530.767,146.599
-13,1,-6293.67,12681.6,-523.06,142.474
-12,1,-6328.14,12749.8,-515.134,138.284
